Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.408813,-0.489868,0.327637,-24.230955,364.440887,-32.043457
0.436768,-0.415283,0.377197,-20.019531,299.987793,8.666992
0.660522,-0.200439,0.283081,1.708984,276.733398,27.9541
0.785522,-0.109741,0.199341,27.587889,262.939453,39.855957
0.803101,-0.109619,0.077515,43.273922,272.033691,55.969234
0.771973,-0.154053,-0.124268,36.682129,295.349121,58.04443
0.786133,-0.22644,-0.380127,47.851559,306.70166,74.279785
0.713623,-0.192139,-0.359375,81.787102,276.306152,121.826164
0.597778,-0.133057,-0.34314,91.857903,246.337875,140.686035
0.682495,-0.071777,-0.849609,98.999016,222.778305,162.597641
0.876709,0.311157,-0.969604,73.425293,172.790512,207.09227
0.951782,0.498291,-0.956909,33.081055,151.245117,195.861801
1.007324,0.364624,-0.948975,24.04785,94.726555,164.306625
0.616089,0.125977,-1.224609,-15.380858,-21.911619,131.591797
0.489014,0.221191,-1.039673,80.871574,-164.733871,133.850098
0.72522,0.494141,-0.787842,219.238266,-245.178207,139.831543
0.765259,0.590332,-0.446411,250.06102,-277.587891,112.976067
0.718506,0.629272,-0.266479,250.854477,-319.763184,46.386715
0.756958,0.738647,-0.109009,309.997559,-394.65329,-35.217285
0.64978,0.337524,0.262817,279.052734,-432.006805,-90.942375
0.556763,0.167969,0.504517,299.438477,-387.939423,-86.425774
0.521973,0.111938,0.674438,205.383286,-327.636688,-70.068359
0.565063,0.199585,0.891479,142.089844,-276.550293,-73.181152
0.613281,0.19104,1.080322,121.704094,-217.712387,-79.589844
0.783325,0.300903,1.239624,76.599121,-145.507812,-94.78759
0.688477,0.30127,1.265747,32.897949,-66.772461,-115.417473
0.584595,0.356201,1.332642,25.451658,5.676269,-138.671875
0.731934,0.110718,1.33606,29.296873,82.214348,-130.859375
0.869629,0.127808,1.34314,7.385253,167.846664,-89.843742
0.577759,0.038696,0.858521,-5.554199,231.201157,-68.664551
0.358154,-0.28125,-0.40271,53.466793,146.484375,-10.559081
0.966797,0.246094,-1.780029,83.06884,-80.26123,24.902342
1.19812,0.734253,-1.590332,23.559568,-382.263153,-96.130363
0.300537,0.204834,0.699585,-46.56982,-434.692352,-179.382309
-0.53833,-0.286377,2.767212,4.150391,-329.833954,-189.636215
-0.099487,-0.523926,3.999878,66.772461,-13.793944,-103.820793
-0.234009,-0.342285,3.467163,24.16992,412.475555,-15.930175
-0.535522,-0.581543,0.915771,12.634276,545.776367,73.669434
0.466187,0.002686,-1.980835,86.364738,348.327606,151.245117
1.650513,0.865234,-3.623169,88.806145,-68.481445,16.540527
0.943237,0.248413,-1.714111,-67.016602,-360.534637,-142.028809
-0.137451,-0.226196,0.936768,-129.394531,-396.911591,-160.766586
-0.174927,-0.316284,3.364502,-98.937981,-366.516083,-154.11377
0.198486,-0.316162,3.843506,-11.657714,-91.247551,-84.106438
0.231201,-0.247803,1.031128,-8.117676,261.59668,12.695312
0.931396,0.204956,-0.923218,50.964352,222.351059,67.871094
0.96228,0.077881,-0.357056,33.813477,5.371093,-3.479004
0.39856,-0.340942,1.329224,-22.216795,-89.294426,-68.54248
0.349487,-0.28186,2.341064,-20.080564,0.854492,-51.269527
0.296875,-0.317261,1.66394,-14.22119,188.476547,-19.470215
0.581177,-0.141113,-0.542969,10.620116,269.287109,36.437988
1.189819,0.226196,-2.199463,56.091305,103.942863,53.771969
0.977539,0.088989,-1.474731,37.841797,-191.528305,-17.822266
0.271484,-0.118652,0.455322,-38.391113,-337.768524,-78.369141
-0.2052,-0.317505,2.8302,-73.059082,-335.876434,-105.590813
